,county,county key,state,number agents,radiation,population density,mean income tax
140,Schwalm-Eder-Kreis,6634,6.0,50481.0,1087.6,117,5.384938786492667
141,Aurich,3452,3.0,69041.0,1072.8,147,4.9580430458793066
142,Lüchow-Dannenberg,3354,3.0,17587.0,1092.8,39,4.636890846969969
143,Remscheid,5120,5.0,15537.0,1076.4,1494,6.020317484429591
144,Solingen,5122,5.0,24614.0,1090.2,1778,6.681081860989782
145,Unna,5978,5.0,73610.0,1072.2,727,5.958196470139184
146,Mayen-Koblenz,7137,7.0,58831.0,1096.8,262,6.2857392231974005
147,Rhein-Pfalz-Kreis,7338,7.0,40842.0,1172.0,507,7.4785624729028255
148,Trier,7211,7.0,15914.0,1149.2,953,5.584911319509708
149,Saalekreis,15088,15.0,47823.0,1113.6,128,4.820485569883331
150,Wittenberg,15091,15.0,35022.0,1140.0,65,4.092891060968424
151,Greiz,16076,16.0,25337.0,1127.4,115,3.990576813249572
152,Ortenaukreis,8317,8.0,83068.0,1214.8,232,6.58365793159935
153,Schwarzwald-Baar-Kreis,8326,8.0,38184.0,1187.0,207,6.676016908302125
154,Kronach,9476,9.0,20053.0,1126.8,102,5.215285863561727
155,Regensburg,9375,9.0,49231.0,1217.4,139,7.681000840059122
156,Offenbach am Main,6413,6.0,10007.0,1149.4,2903,4.924932424956134
157,Mecklenburgische Seenplatte,13071,13.0,59334.0,1074.8,47,4.280100549826346
158,Borken,5554,5.0,89128.0,1074.0,261,6.224222557538548
159,Euskirchen,5366,5.0,56509.0,1083.6,155,5.846459189922142
160,Heinsberg,5370,5.0,73411.0,1104.8,407,5.766456683308501
161,Oberhausen,5119,5.0,27049.0,1105.2,2734,4.999612674950537
162,Vulkaneifel,7233,7.0,22381.0,1098.0,67,5.071784232365144
163,Saarlouis,10044,10.0,60768.0,1176.6,423,5.518865458803358
164,Burgenlandkreis,15084,15.0,40312.0,1113.8,126,3.9576167152334314
165,Berchtesgadener Land,9172,9.0,18652.0,1258.0,126,5.843062896665553
166,Landshut,9261,9.0,10411.0,1230.8,1115,8.466311340816711
167,Lindau (Bodensee),9776,9.0,14640.0,1240.8,254,7.324922469692697
168,Passau,9262,9.0,8410.0,1230.8,759,6.084328245428443
169,Märkisch-Oderland,12064,12.0,50648.0,1123.6,91,5.1758024295943805
170,Oberhavel,12065,12.0,50181.0,1094.0,118,5.960186243909473
171,Darmstadt-Dieburg,6432,6.0,65532.0,1153.8,452,7.660999008048785
172,Nordwestmecklenburg,13074,13.0,36651.0,1089.6,74,4.6665136364288475
173,Celle,3351,3.0,51560.0,1068.8,115,5.733065943140263
174,Osnabrück,3404,3.0,25690.0,1055.6,1379,6.732678411754755
175,Osnabrück,3459,3.0,85982.0,1054.8,169,6.059547558136193
176,Stendal,15090,15.0,30678.0,1112.0,46,4.097239880244433
177,Chemnitz,14511,14.0,20612.0,1131.8,1114,4.497389793780277
178,Kiel,1002,1.0,27586.0,1041.4,2080,5.300989788421374
179,Rhein-Neckar-Kreis,8226,8.0,112570.0,1178.4,517,8.44058798915713
180,Dachau,9174,9.0,27874.0,1248.2,267,8.964883197084355
181,Fürth,9573,9.0,27257.0,1194.0,383,7.596460912187423
182,Memmingen,9764,9.0,7282.0,1254.4,629,7.8159731665306875
183,Fulda,6631,6.0,48087.0,1114.0,162,5.778605306061952
184,Rhein-Hunsrück-Kreis,7140,7.0,31593.0,1117.0,104,6.104566828723997
185,Regionalverband Saarbrücken,10041,10.0,72440.0,1181.0,800,5.639449739044098
186,Flensburg,1001,1.0,12919.0,1030.8,1701,5.146840706942359
187,Ansbach,9571,9.0,48163.0,1190.2,94,5.929618962492138
188,Regen,9276,9.0,21546.0,1215.6,79,4.820210868652959
189,Herne,5916,5.0,16280.0,1085.4,3043,4.5958791446628
190,Kleve,5154,5.0,84572.0,1096.4,253,5.710497090931949
191,Krefeld,5114,5.0,36993.0,1108.2,1651,6.81631973355537
192,Mönchengladbach,5116,5.0,45277.0,1109.4,1531,6.013042189506966
193,Germersheim,7334,7.0,31433.0,1183.2,278,6.273945599022005
194,Suhl,16054,16.0,5591.0,1090.2,260,5.855603700667525
195,Roth,9576,9.0,32568.0,1199.8,142,6.939027838873876
196,Würzburg,9663,9.0,15237.0,1182.0,1460,7.493944234679058
197,Rheingau-Taunus-Kreis,6439,6.0,42675.0,1131.0,231,8.490397938858576
198,Göttingen,3152,3.0,71111.0,1086.0,186,6.100455999999999
199,Helmstedt,3154,3.0,25757.0,1108.8,135,6.700598673443017
200,Bochum,5911,5.0,42378.0,1080.8,2510,6.249642599814724
201,Bottrop,5512,5.0,16304.0,1104.4,1169,5.9374741356608105
202,Frankenthal (Pfalz),7311,7.0,7283.0,1165.6,1111,5.911613651424784
203,Halle (Saale),15002,15.0,18255.0,1115.4,1768,4.599996273662245
204,Magdeburg,15003,15.0,21211.0,1128.2,1182,4.879194999405128
205,Esslingen,8116,8.0,89657.0,1192.8,834,8.429359516157604
206,Ansbach,9561,9.0,7624.0,1190.0,418,5.859514864802189
207,Forchheim,9474,9.0,28966.0,1174.4,181,7.3496864252478264
208,Ostprignitz-Ruppin,12068,12.0,24978.0,1099.4,39,3.94491776390724
209,Emden,3402,3.0,12580.0,1067.4,444,5.107726597325408
210,Grafschaft Bentheim,3456,3.0,39544.0,1065.2,140,5.205894226887363
211,Osterholz,3356,3.0,34151.0,1037.4,175,6.41982803126057
212,Rotenburg (Wümme),3357,3.0,50077.0,1030.2,79,5.903601463696476
213,Rheinisch-Bergischer Kreis,5378,5.0,63528.0,1083.0,648,9.159574693860224
214,Wuppertal,5124,5.0,39001.0,1086.2,2109,6.18644867255553
215,Kaiserslautern,7335,7.0,36113.0,1157.6,166,5.6872640572223325
216,Worms,7319,7.0,15833.0,1167.0,768,5.785592318542899
217,Salzlandkreis,15089,15.0,48091.0,1129.0,132,4.076650685098201
218,Erzgebirgskreis,14521,14.0,69169.0,1130.8,183,3.7931737541704176
219,Neumünster,1004,1.0,15907.0,1048.2,1119,4.502056716336593
220,Freudenstadt,8237,8.0,26176.0,1176.2,136,7.014669884502673
221,Mannheim,8222,8.0,28067.0,1173.4,2143,6.760076031124448
222,Sigmaringen,8437,8.0,32426.0,1255.0,109,6.1791839696188475
223,Augsburg,9772,9.0,58738.0,1226.2,237,7.5768236270905005
224,Bad Kissingen,9672,9.0,26915.0,1139.2,91,5.4035494585405175
225,Bayreuth,9472,9.0,29064.0,1160.6,81,5.622608262626651
226,Erlangen-Höchstadt,9572,9.0,33850.0,1190.6,243,9.406373514183622
227,Kulmbach,9477,9.0,19743.0,1142.8,109,5.5919624047966305
228,Tirschenreuth,9377,9.0,19697.0,1151.6,66,4.978014106237602
229,Weilheim-Schongau,9190,9.0,30150.0,1249.4,140,7.413219671751528
230,Potsdam,12054,12.0,12606.0,1128.2,958,6.772011543113048
231,Hamburg,2000,2.0,167223.0,1038.0,2446,8.859784
232,Ludwigslust-Parchim,13076,13.0,57277.0,1094.2,44,4.378914809960682
233,Diepholz,3251,3.0,62012.0,1057.4,109,6.351366161520729
234,Leer,3457,3.0,56179.0,1056.4,157,4.882588356899591
235,Gütersloh,5754,5.0,76683.0,1058.2,377,7.224345889775469
236,Herford,5758,5.0,57371.0,1062.8,556,6.299198367332821
237,Dithmarschen,1051,1.0,47401.0,1054.8,93,5.6830696460610035
238,Segeberg,1060,1.0,66227.0,1048.8,206,6.715407531778637
